iter	RMSE
0	0.08117211588
1	0.079882219
2	0.07837191238
3	0.0765207092
4	0.07480410851
5	0.07414368
6	0.07343056011
7	0.07271446027
8	0.07098442323
9	0.07003709812
10	0.06868569973
11	0.06812446674
12	0.06652303565
13	0.06580908462
14	0.06464910325
15	0.063407525
16	0.06247222281
17	0.06166578653
18	0.06020372493
19	0.05984038017
20	0.0583531555
21	0.05672857831
22	0.05637599354
23	0.05496414805
24	0.05363003018
25	0.05221128949
26	0.0509024865
27	0.0497091649
28	0.04891056789
29	0.0480778269
30	0.0469309278
31	0.04584306402
32	0.04475798996
33	0.04341832463
34	0.04237426143
35	0.04214836564
36	0.0412167133
37	0.04023634915
38	0.03933634201
39	0.03841814964
40	0.03786866497
41	0.03696806339
42	0.03611265791
43	0.03526325027
44	0.03432736352
45	0.03352668618
46	0.03293487383
47	0.03210720677
48	0.03134240986
49	0.03056405333
50	0.02985899228
51	0.02914918462
52	0.02872921284
53	0.02805798983
54	0.02741603211
55	0.02673588652
56	0.02613048584
57	0.02558360434
58	0.02519879311
59	0.02455571911
60	0.02420289983
61	0.02359481539
62	0.0230100783
63	0.02249138264
64	0.02191796558
65	0.02136285745
66	0.02081958521
67	0.02029271545
68	0.01978725176
69	0.01929433642
70	0.01883733979
71	0.01837176615
72	0.01791666981
73	0.01746781132
74	0.01703859575
75	0.01661707793
76	0.01620672005
77	0.01580683841
78	0.01541733046
79	0.0150386744
80	0.01466693738
81	0.01430803936
82	0.01395808835
83	0.01361448067
84	0.01327987426
85	0.0129561386
86	0.01264093068
87	0.01233479737
88	0.01203307865
89	0.01173924635
90	0.01145674274
91	0.01118049364
92	0.01091105022
93	0.01064879157
94	0.01039425226
95	0.01014638673
96	0.009903550241
97	0.009668524053
98	0.009438808305
99	0.009215197284
100	0.008997204146
101	0.008785860448
102	0.00857945483
103	0.008378751531
104	0.008182973714
105	0.007992617204
106	0.007807366672
107	0.007627100429
108	0.007451847402
109	0.007281194583
110	0.007115179785
111	0.006953847135
112	0.006797410679
113	0.006643462379
114	0.006494908538
115	0.006349307993
116	0.006207788056
117	0.006071283159
118	0.005938440201
119	0.005808828584
120	0.005682377188
121	0.005559699255
122	0.005440270543
123	0.005323304256
124	0.005210760302
125	0.005101729806
126	0.004995895866
127	0.004893385767
128	0.004793166782
129	0.004696582886
130	0.004602892701
131	0.004511703358
132	0.004423559443
133	0.004337800662
134	0.004254686683
135	0.004173424488
136	0.004095540461
137	0.004018022638
138	0.00394095501
139	0.003865441975
140	0.003792381802
141	0.003718740812
142	0.003652986661
143	0.003589363731
144	0.003520704319
145	0.003449941131
146	0.003387493206
147	0.00333224239
148	0.003271485802
149	0.003217935348
150	0.003166665965
151	0.003118382476
152	0.00307091873
153	0.002998463161
154	0.002933333017
155	0.002876069886
156	0.002831947473
157	0.002791243928
158	0.002726402057
159	0.002687502695
160	0.00264992048
161	0.002613301383
162	0.002549720684
163	0.002494448249
164	0.002446796485
165	0.002415363598
166	0.002384547404
167	0.002332602602
168	0.002273818956
169	0.002231200238
170	0.002187016915
171	0.002146051361
172	0.002090927434
173	0.002024936278
174	0.002001419528
175	0.001960135932
176	0.00191909634
177	0.001877669687
178	0.001843270462
179	0.00182333825
180	0.001787675145
181	0.00173586082
182	0.001717095168
183	0.001699462672
184	0.001681511646
185	0.001653212
186	0.001637531692
187	0.001623053961
188	0.001598228685
189	0.001563928093
190	0.001524848206
191	0.001512412632
192	0.001481579495
193	0.001447956746
194	0.001407852
195	0.001396174804
196	0.001367932726
197	0.001338464105
198	0.001296828669
199	0.001265013945
